Date,Open,High,Low,Close,Volume
2010-08-23,6017.19,6055.23,5995.37,6010.91,66569284
2010-08-24,5962.87,5975.83,5869.3,5935.44,97950225
2010-08-25,5925.48,5954.96,5837.9,5899.5,107848981
2010-08-26,5937.27,5948.91,5896.52,5912.58,90854846
2010-08-27,5899.99,5957.32,5845.49,5951.17,117064941
2010-08-30,5973.48,5978.19,5889.84,5912.41,57737980
2010-08-31,5846.03,5925.81,5833.51,5925.22,102991467
2010-09-01,5936.94,6087.94,5876.43,6083.9,119785830
2010-09-02,6071.56,6104.09,6052.55,6083.85,96113489
2010-09-03,6091.66,6178.01,6088.26,6134.62,94990518
2010-09-06,6156.29,6164.93,6140.98,6155.04,63508475
2010-09-07,6136.92,6138.93,6083.2,6117.89,81983277
2010-09-08,6099.33,6180.38,6062.65,6164.44,108640339
2010-09-09,6141.84,6233.07,6133.99,6221.52,102017174
2010-09-10,6186.22,6224.65,6182.56,6214.77,94002845
2010-09-13,6258.51,6290.87,6231.52,6261.68,93974076
2010-09-14,6261.78,6287.78,6231.38,6275.41,112788750
2010-09-15,6282.52,6288.2,6227.2,6261.87,104880749
2010-09-16,6255.14,6281.1,6233.97,6249.65,96808792
2010-09-17,6297.93,6321.2,6185.74,6209.76,232899510
2010-09-20,6231.28,6301.63,6219.85,6294.58,96805832
2010-09-21,6281.07,6339.97,6275.98,6275.98,130949564
2010-09-22,6286.33,6297.4,6192.43,6208.33,133906451
2010-09-23,6252.31,6263.74,6129.44,6184.71,117864906
2010-09-24,6173.89,6310.28,6146.42,6298.3,114746448
2010-09-27,6307.87,6324.09,6272.17,6278.89,86116569
2010-09-28,6258.2,6311.92,6197.96,6276.09,109270135
2010-09-29,6296.28,6326.34,6223.14,6246.92,120081770
2010-09-30,6214.02,6339.36,6204.69,6229.02,137412331
2010-10-01,6244.06,6293.09,6187.22,6211.34,125509221
2010-10-04,6205,6210.25,6128.54,6134.21,90481312
2010-10-05,6132.12,6233.45,6115.87,6215.83,106588168
2010-10-06,6248.81,6289.56,6242.52,6270.73,111931030
2010-10-07,6278.61,6321.79,6233.14,6276.25,97564708
2010-10-08,6269.48,6295.09,6239.43,6291.67,124534189
2010-10-11,6308.43,6325.31,6289.36,6309.51,79123953
2010-10-12,6257.03,6316.77,6228.39,6304.57,99634254
2010-10-13,6339.76,6456.27,6335.22,6434.52,148838890
2010-10-14,6446.32,6485.71,6445.32,6455.27,110051491
2010-10-15,6478,6512.78,6438.78,6492.3,137125808
2010-10-18,6465.83,6533.83,6462.59,6516.63,91058475
2010-10-19,6508.36,6544.79,6472.18,6490.69,101370609
2010-10-20,6470.3,6527.85,6461.48,6524.55,95159747
2010-10-21,6514.99,6621.84,6504.66,6611.01,95687746
2010-10-22,6594.9,6623.94,6586.4,6605.84,67471092
2010-10-25,6645.45,6668.54,6625.83,6639.21,75741985
2010-10-26,6634.24,6645.7,6580.28,6613.8,95124437
2010-10-27,6591.24,6629.13,6553.25,6568,117914523
2010-10-28,6600.28,6644.61,6576.02,6595.28,104323091
