Date,Open,High,Low,Close
2010-12-30,1.3217,1.3313,1.3217,1.329
2010-12-31,1.329,1.3424,1.3286,1.3386
2011-01-03,1.3343,1.3393,1.325,1.3349
2011-01-04,1.3349,1.3432,1.3294,1.331
2011-01-05,1.331,1.3325,1.3128,1.3149
2011-01-06,1.3149,1.3169,1.2984,1.3002
2011-01-07,1.3002,1.302,1.2906,1.2909
2011-01-10,1.2895,1.2963,1.2876,1.2945
2011-01-11,1.2945,1.299,1.2908,1.2971
2011-01-12,1.2971,1.3142,1.2962,1.3128
2011-01-13,1.3127,1.3382,1.3089,1.3347
2011-01-14,1.3348,1.3449,1.3316,1.3386
2011-01-17,1.3369,1.338,1.3248,1.3274
2011-01-18,1.3275,1.3465,1.3252,1.3386
2011-01-19,1.3386,1.3537,1.3369,1.3456
2011-01-20,1.3456,1.3523,1.3397,1.3464
2011-01-21,1.3464,1.3625,1.3449,1.3621
2011-01-24,1.3607,1.3685,1.354,1.364
2011-01-25,1.364,1.3703,1.3575,1.3681
2011-01-26,1.3679,1.3721,1.3644,1.3698
2011-01-27,1.3698,1.3758,1.3637,1.3729
2011-01-28,1.3729,1.3746,1.3583,1.3611
2011-01-31,1.3579,1.3739,1.3571,1.3691
2011-02-01,1.3691,1.3842,1.3691,1.3825
2011-02-02,1.3824,1.3861,1.3767,1.3805
2011-02-03,1.3806,1.3825,1.3609,1.3625
2011-02-04,1.3626,1.3678,1.3543,1.3583
2011-02-07,1.3568,1.3626,1.3508,1.3578
2011-02-08,1.3579,1.3688,1.3572,1.3629
2011-02-09,1.3629,1.3743,1.3611,1.3725
2011-02-10,1.3725,1.3727,1.3577,1.3593
2011-02-11,1.3596,1.3621,1.3497,1.355
2011-02-14,1.3528,1.3558,1.3428,1.3489
2011-02-15,1.3489,1.355,1.3461,1.3487
2011-02-16,1.3487,1.3587,1.3462,1.356
2011-02-17,1.3562,1.3618,1.3536,1.3606
2011-02-18,1.3606,1.3715,1.3545,1.3693
2011-02-21,1.369,1.3716,1.3647,1.3675
2011-02-22,1.3675,1.3703,1.3526,1.3655
2011-02-23,1.3655,1.3786,1.3655,1.375
2011-02-24,1.375,1.382,1.3704,1.3802
2011-02-25,1.3802,1.3838,1.3724,1.3749
2011-02-28,1.3748,1.3854,1.3711,1.3809
2011-03-01,1.3808,1.3853,1.3763,1.3777
2011-03-02,1.3776,1.389,1.3743,1.3864
2011-03-03,1.3864,1.3974,1.3833,1.396
2011-03-04,1.396,1.4006,1.3941,1.3987
2011-03-07,1.3993,1.4035,1.3955,1.3969
2011-03-08,1.397,1.3988,1.3862,1.3902
2011-03-09,1.3904,1.3941,1.3856,1.3905
2011-03-10,1.3905,1.3924,1.3775,1.38
2011-03-11,1.3801,1.3915,1.3752,1.3902
2011-03-14,1.3954,1.4003,1.3905,1.3994
2011-03-15,1.3993,1.4012,1.3855,1.3972
2011-03-16,1.3972,1.4,1.3867,1.3913
2011-03-17,1.3914,1.4051,1.387,1.4017
2011-03-18,1.4017,1.4184,1.3981,1.4182
2011-03-21,1.4183,1.424,1.4141,1.4215
2011-03-22,1.4215,1.4248,1.418,1.4189
2011-03-23,1.4189,1.4214,1.4077,1.4101
2011-03-24,1.4101,1.4219,1.4054,1.418
2011-03-25,1.418,1.4193,1.4055,1.4085
2011-03-28,1.4044,1.4115,1.402,1.4082
2011-03-29,1.4083,1.4148,1.4048,1.4109
2011-03-30,1.4109,1.4147,1.4052,1.4126
2011-03-31,1.4126,1.4232,1.4116,1.4174
2011-04-01,1.4173,1.4245,1.4062,1.4235
2011-04-04,1.423,1.4268,1.4193,1.4218
2011-04-05,1.4218,1.4243,1.4153,1.4219
2011-04-06,1.422,1.4348,1.4217,1.4331
2011-04-07,1.4331,1.4336,1.4244,1.4305
2011-04-08,1.4303,1.4488,1.4291,1.4484
2011-04-11,1.4453,1.4483,1.4421,1.4432
2011-04-12,1.4435,1.4518,1.4377,1.4477
2011-04-13,1.4477,1.452,1.4413,1.444
2011-04-14,1.4441,1.4514,1.4365,1.4485
2011-04-15,1.4485,1.4503,1.4392,1.4429
2011-04-18,1.4417,1.4421,1.4157,1.4228
2011-04-19,1.4229,1.4352,1.4205,1.4331
2011-04-20,1.4332,1.4547,1.4328,1.4521
2011-04-21,1.4522,1.4649,1.4505,1.4552
2011-04-22,1.4551,1.4588,1.4534,1.4561
2011-04-25,1.456,1.4627,1.4525,1.4579
2011-04-26,1.4579,1.4656,1.4493,1.4648
2011-04-27,1.4648,1.4794,1.4633,1.4772
2011-04-28,1.4772,1.4881,1.4772,1.4824
2011-04-29,1.4824,1.4877,1.4804,1.4808
2011-05-02,1.4826,1.4901,1.4763,1.4823
2011-05-03,1.4824,1.4889,1.4755,1.4822
2011-05-04,1.4822,1.494,1.4775,1.4829
2011-05-05,1.4828,1.4899,1.451,1.4542
2011-05-06,1.4542,1.4587,1.4311,1.4317
2011-05-09,1.4366,1.4441,1.4254,1.4357
2011-05-10,1.4353,1.4413,1.427,1.4411
2011-05-11,1.4409,1.4423,1.4172,1.4199
2011-05-12,1.4198,1.4277,1.4124,1.4242
2011-05-13,1.4241,1.4339,1.4066,1.4118
2011-05-16,1.4077,1.4244,1.4048,1.4161
2011-05-17,1.4161,1.4238,1.4121,1.4236
2011-05-18,1.4236,1.4287,1.4195,1.4251
2011-05-19,1.4251,1.4324,1.4207,1.4309
2011-05-20,1.4309,1.4345,1.4134,1.416
2011-05-23,1.4131,1.4144,1.397,1.4048
2011-05-24,1.4048,1.4133,1.4002,1.4103
2011-05-25,1.4102,1.4118,1.4013,1.4082
2011-05-26,1.4082,1.4206,1.4068,1.4135
2011-05-27,1.4135,1.4324,1.4126,1.4317
2011-05-30,1.4309,1.431,1.4257,1.4286
2011-05-31,1.4286,1.4424,1.4285,1.4395
2011-06-01,1.4395,1.4458,1.4307,1.433
2011-06-02,1.433,1.4513,1.4325,1.4491
2011-06-03,1.4491,1.4643,1.4452,1.4636
2011-06-06,1.4629,1.4658,1.4558,1.4578
2011-06-07,1.4579,1.4696,1.4564,1.4688
2011-06-08,1.4688,1.4693,1.4564,1.4578
2011-06-09,1.4579,1.4652,1.4478,1.4513
2011-06-10,1.4514,1.455,1.4322,1.4349
2011-06-13,1.4328,1.4429,1.4321,1.4416
2011-06-14,1.4418,1.4497,1.4378,1.4443
